,index,Released,English title,TMDB_id
207,45,2001-09-21,Glitter,10696
208,48,2001-09-28,Don't Say a Word,12103
209,49,2001-09-28,Hearts in Atlantis,11313
210,50,2001-09-28,Zoolander,9398
211,0,2001-10-05,Joy Ride,10866
212,1,2001-10-05,Max Keeble's Big Move,34549
213,2,2001-10-05,Serendipity,9778
214,3,2001-10-05,Training Day,2034
215,4,2001-10-09,Scooby-Doo and the Cyber Chase,15601
216,5,2001-10-12,Bandits,3172
217,6,2001-10-12,Corky Romano,17708
218,9,2001-10-12,My First Mister,25641
219,11,2001-10-19,The Last Castle,2100
220,12,2001-10-19,Riding in Cars with Boys,11091
221,13,2001-10-19,Waking Life,9081
222,14,2001-10-24,A Chronicle of Corpses,121399
223,17,2001-10-26,On the Line,34043
224,18,2001-10-26,Thirteen Ghosts,9378
225,20,2001-10-31,Wasabi,2110
226,25,2001-11-02,The One,10796
227,26,2001-11-03,The Flintstones: On the Rocks,75915
228,27,2001-11-06,Mickey's Magical Christmas: Snowed in at the House of Mouse,21448
229,28,2001-11-09,Heist,11088
230,30,2001-11-09,Maze,133115
231,32,2001-11-16,Harry Potter and the Sorcerer's Stone,671
232,35,2001-11-21,Black Knight,11469
233,36,2001-11-21,Out Cold,14369
234,39,2001-11-23,In the Bedroom,1999
235,40,2001-11-30,The Affair of the Necklace,19076
236,41,2001-11-30,Behind Enemy Lines,8007
237,42,2001-11-30,Texas Rangers,13503
238,43,2001-12-04,Beethoven's 4th,24478
239,46,2001-12-07,Ocean's Eleven,161
240,47,2001-12-09,The Day Reagan Was Shot,81748
241,48,2001-12-14,Iris,11889
242,53,2001-12-14,Vanilla Sky,1903
243,54,2001-12-18,The Shipping News,6440
244,57,2001-12-21,Aida of the Trees,47757
245,59,2001-12-21,How High,8386
246,61,2001-12-21,Joe Somebody,12312
247,62,2001-12-21,The Majestic,11086
248,63,2001-12-21,Momo,24179
249,65,2001-12-25,Kate & Leopold,11232
250,68,2001-12-28,I Am Sam,10950
251,69,2001-12-28,Black Hawk Down,855
252,70,2001-12-28,Charlotte Gray,12660
253,1,2002-01-11,Orange County,11857
254,2,2002-01-18,Snow Dogs,11888
255,3,2002-01-18,State Property,25006
