,index,Released,English title,TMDB_id
230,28,1991-08-18,Women & Men 2,472298
231,30,1991-08-23,Dead Again,11498
232,31,1991-08-23,Defenseless,41787
233,32,1991-08-23,Harley Davidson and the Marlboro Man,2453
234,34,1991-08-23,Showdown in Little Tokyo,13154
235,36,1991-08-30,Child's Play 3,11187
236,38,1991-09-06,Company Business,32074
237,39,1991-09-06,Crooked Hearts,93002
238,40,1991-09-07,Cast a Deadly Spell,52660
239,41,1991-09-13,Dogfight,14667
240,43,1991-09-13,Liebestraum,44414
241,44,1991-09-18,Mississippi Masala,41791
242,45,1991-09-18,Paradise,68430
243,46,1991-09-20,The Fisher King,177
244,47,1991-09-20,The Indian Runner,25598
245,48,1991-09-20,Late for Dinner,56120
246,49,1991-09-20,McBain,27350
247,52,1991-09-27,Deceived,28455
248,53,1991-09-27,Necessary Roughness,20704
249,1,1991-10-04,Ricochet,9546
250,2,1991-10-04,Shout,25674
251,3,1991-10-04,Suburban Commando,11504
252,4,1991-10-04,The Super,53287
253,6,1991-10-11,City of Hope,1772
254,7,1991-10-11,Ernest Scared Stupid,32685
255,8,1991-10-11,Frankie and Johnny,3784
256,9,1991-10-11,Shattered,2071
257,10,1991-10-11,Stepping Out,41795
258,12,1991-10-18,Cool as Ice,1496
259,15,1991-10-18,Other People's Money,6463
260,17,1991-10-23,House Party 2,16096
261,18,1991-10-25,The Butcher's Wife,20096
262,19,1991-10-25,Curly Sue,11894
263,23,1991-11-01,29th Street,43267
264,24,1991-11-01,Billy Bathgate,12647
265,26,1991-11-01,The People Under the Stairs,13122
266,28,1991-11-02,Prisoner of Honor,233156
267,29,1991-11-08,All I Want for Christmas,13644
268,30,1991-11-08,Strictly Business,45147
269,31,1991-11-13,Cape Fear,1598
270,32,1991-11-15,And You Thought Your Parents Were Weird,77664
271,33,1991-11-15,Kafka,2297
272,34,1991-11-15,Meeting Venus,117825
273,36,1991-11-22,The Addams Family,2907
274,40,1991-11-22,For the Boys,25221
275,41,1991-11-27,Hearts of Darkness: A Filmmaker's Apocalypse,4539
276,42,1991-11-27,My Girl,4032
277,43,1991-12-06,At Play in the Fields of the Lord,51515
278,44,1991-12-06,Star Trek VI: The Undiscovered Country,174
279,46,1991-12-13,The Last Boy Scout,9319
280,48,1991-12-20,Father of the Bride,11846
281,49,1991-12-20,JFK,820
282,50,1991-12-22,Rush,20289
283,51,1991-12-25,Grand Canyon,13697
284,52,1991-12-25,The Prince of Tides,10333
285,54,1991-12-27,Fried Green Tomatoes,1633
286,55,1991-12-27,Hear My Song,54405
287,56,1991-12-27,Naked Lunch,2742
288,0,1992-01-10,Kuffs,14603
289,1,1992-01-10,The Hand That Rocks the Cradle,11087
290,2,1992-01-17,Freejack,9278
291,4,1992-01-17,Juice,16136
292,5,1992-01-24,Love Crimes,39479
293,6,1992-01-31,Hard Promises,89292
294,7,1992-01-31,Hurricane Smith,147741
295,9,1992-01-31,Shining Through,31962
296,12,1992-02-07,Final Analysis,4823
297,13,1992-02-07,Medicine Man,9096
298,15,1992-02-14,Wayne's World,8872
299,16,1992-02-21,Falling from Grace,70026
300,17,1992-02-21,Radio Flyer,20763
301,18,1992-02-21,Stop! Or My Mom Will Shoot,9876
302,19,1992-02-21,This Is My Life,41776
303,21,1992-02-28,The Mambo Kings,40082
304,22,1992-02-28,Memoirs of an Invisible Man,2687
305,24,1992-03-06,Blame It on the Bellboy,34151
306,25,1992-03-06,Gladiator,16219
307,27,1992-03-06,Meatballs 4,40773
308,28,1992-03-06,Once Upon a Crime,27465
309,29,1992-03-11,Tiny Toon Adventures: How I Spent My Vacation,36257
310,30,1992-03-13,American Me,13199
