,index,English title,Released,TMDB_id
163,99," Sorry ,  Dokdo ",2008-12-31,417209
164,101, Summer   Whispers ,2008-10-16,417218
165,102, Sunny ,2008-07-23,41538
166,103, A   Tale   of   Legendary   Libido ,2008-04-30,42384
167,104, Three   Kingdoms :  Resurrection   of   the   Dragon ,2008-04-03,14538
168,106, Truck ,2008-09-25,47830
169,107, Unforgettable ,2008-05-08,83420
170,110, What   Happened   Last   Night ,2008-08-14,264438
171,0,Old Partner,2009-01-15,47748
172,1,City of Damnation,2009-01-22,19613
173,2,Daytime Drinking,2009-02-05,35821
174,3,Marine Boy,2009-02-05,15286
175,4,The Naked Kitchen,2009-02-05,54201
176,5,The Scam,2009-02-12,19529
177,6,Handphone,2009-02-19,18791
178,7,Oishii Man,2009-02-19,42304
179,9,Oh! My God 2,2009-02-26,32522
180,11,More Than Blue,2009-03-11,45098
181,12,The Day After,2009-03-12,262464
182,15,The Story of Mr. Sorry,2009-03-12,62682
183,16,Grandmother's Flower,2009-03-19,727967
184,17,Missing,2009-03-19,108513
185,20,Why Did You Come to My House,2009-04-09,50340
186,21,Breathless,2009-04-16,31850
187,22,To Live - Save Our Saemankum,2009-04-16,1060903
188,24,Sisters on the Road,2009-04-23,242978
189,25,Insadong Scandal,2009-04-30,26002
190,26,Land of Scarecrows,2009-04-30,169792
191,27,Thirst,2009-04-30,22536
192,29,Castaway on the Moon,2009-05-14,18438
193,31,Like You Know It All,2009-05-14,86262
194,34,Boat,2009-05-28,38069
195,35,Mother,2009-05-28,30018
196,38,"Thirsty, Thirsty",2009-06-04,417196
197,39,Where is Ronny...,2009-06-04,173969
198,40,"Himalaya, Where the Wind Dwells",2009-06-11,79637
199,42,Running Turtle,2009-06-11,26781
200,43,A Blood Pledge,2009-06-18,52413
201,45,Bandhobi,2009-06-25,66644
202,46,Bronze Medalist,2009-07-01,42781
203,47,Five Senses of Eros,2009-07-09,54225
204,48,Something to do Before Dying,2009-07-09,383548
205,49,Chaw,2009-07-15,59450
206,52,Take off,2009-07-29,37870
207,53,The Code of a Duel,2009-08-06,384285
208,54,A Million,2009-08-06,45083
209,56,4th Period Mystery,2009-08-12,45079
210,57,Possessed,2009-08-12,56781
211,58,The Pot,2009-08-20,172159
212,60,Yoga,2009-08-20,50458
213,61,Treeless Mountain,2009-08-27,25695
214,66,Closer to Heaven,2009-09-24,73092
215,67,"Fly, Penguin",2009-09-24,414781
216,69,The Sword with No Name,2009-09-24,41441
217,70,Flying Giants,2009-09-26,413629
218,71,Hello My Love,2009-10-08,91623
219,72,Let the Blue River Run,2009-10-08,418488
220,73,A Good Rain Knows,2009-10-08,61269
221,75,City of Fathers,2009-10-15,45092
222,76,Tears in the Arctic,2009-10-15,417210
223,77,Good Morning President,2009-10-22,136707
224,78,LaLa Sunshine,2009-10-22,413435
225,79,Maybe,2009-10-22,79270
226,80,Sky and Sea,2009-10-28,74640
227,81,A Brand New Life,2009-10-29,48508
228,84,A Blind River,2009-11-05,82412
229,85,The Executioner,2009-11-05,155781
230,86,"Kiss Me, Kill Me",2009-11-05,48593
231,88,Searching for the Elephant,2009-11-05,40099
232,89,Fortune Salon,2009-11-11,167760
233,90,19-Nineteen,2009-11-12,50792
234,92,Visitors,2009-11-12,120551
235,94,White Night,2009-11-19,51393
236,95,Triangle,2009-11-19,240763
237,96,Descendants of Hong Gil-dong,2009-11-26,257296
238,99,Shared Streets,2009-11-26,417363
239,100,Wish,2009-11-26,249277
240,101,After the Banquet,2009-12-03,155603
241,102,Dance of Time,2009-12-03,655254
242,103,Flight,2009-12-03,222282
243,104,Secret,2009-12-03,36681
244,105,Actresses,2009-12-10,57265
245,106,A Dream Comes True,2009-12-10,127203
246,107,Girlfriends,2009-12-17,184647
247,108,Just Friends?,2009-12-17,169022
248,109,Missing Person,2009-12-17,272998
249,110,What Do You Do?,2009-12-17,414445
250,111,Jeon Woo-chi: The Taoist Wizard,2009-12-23,40171
251,0,No Mercy,2010-01-07,50475
252,1,Lady Daddy,2010-01-14,44849
253,2,Attack the Gas Station 2,2010-01-21,38983
254,3,Harmony,2010-01-28,40167
255,4,Le Grand Chef 2: Kimchi Battle,2010-01-28,72857
256,5,Secret Reunion,2010-02-04,50090
257,6,The Outlaw,2010-03-18,108800
258,7,Lovers Vanished,2010-04-01,109994
259,9,Hahaha,2010-05-06,60098
260,10,The Housemaid,2010-05-13,45202
261,11,Poetry,2010-05-13,47909
262,13,71: Into the Fire,2010-06-16,51200
