,index,Released,English title,TMDB_id
201,1,2023-01-05,Gangnam Zombie,996525
202,2,2023-01-12,Tales of Nobody,1064180
203,3,2023-01-12,10-Day Lover,1069069
204,4,2023-01-18,The Point Men,606400
205,5,2023-01-18,Phantom,715253
206,8,2023-02-08,Love My Scent,1073274
207,9,2023-02-08,Someone You Loved,870144
208,10,2023-02-17,Unlocked,740441
209,11,2023-02-22,The Assassin,890154
210,12,2023-02-22,Count,644893
211,13,2023-03-01,My Heart Puppy‡,610249
212,14,2023-03-01,The Devil's Deal‡,640327
213,15,2023-03-15,Soulmate,617882
214,16,2023-03-22,Woongnami,995063
215,1,2023-04-05,Rebound,936243
216,2,2023-04-12,In Water‡,1077647
217,3,2023-04-12,Archaeology of Love‡,956734
218,4,2023-04-14,Killing Romance,746349
219,5,2023-04-19,Shape of Tulip,814650
220,6,2023-04-19,Always I am,1100419
221,8,2023-04-19,The Ghost Station,844386
222,9,2023-04-26,Dream,636173
223,10,2023-05-10,Long D,840612
224,11,2023-05-18,Colossus: Child of the Wind,1115212
225,12,2023-05-31,The Roundup: No Way Out,955555
226,13,2023-06-21,The Childe,1057001
227,14,2023-06-21,In Dream,957118
228,0,2023-07-05,The Devils,952476
229,1,2023-07-26,Smugglers,783110
230,2,2023-08-02,The Moon,753091
231,3,2023-08-02,Ransomed,581395
232,4,2023-08-09,Concrete Utopia,729854
233,5,2023-08-15,Honey Sweet,978202
234,6,2023-08-15,A Man of Reason‡,656156
235,7,2023-08-30,Don't Buy the Seller,813079
236,8,2023-09-06,Sleep‡,964592
237,9,2023-09-27,Road to Boston,581394
238,10,2023-09-27,Cobweb‡,901121
239,11,2023-09-27,Dr. Cheon and Lost Talisman,950253
240,0,2023-10-03,Love Reset,1052433
241,2,2023-10-11,Hopeless‡,1028684
242,3,2023-10-11,Miss Fortune,941045
243,5,2023-10-25,Brave Citizen,897160
244,6,2023-10-25,Open the Door‡,977152
245,7,2023-10-25,The Dream Songs‡,972435
246,8,2023-11-01,The Boys‡,714651
247,9,2023-11-01,Alone‡,1181418
248,10,2023-11-01,Green Night‡,1075813
249,11,2023-11-15,Iron Mask‡,1046809
250,13,2023-11-22,12.12: The Day,919207
251,15,2023-11-29,Single in Seoul,717088
252,16,2023-12-06,Our Season,661681
253,17,2023-12-06,A Letter from Kyoto,1021633
254,18,2023-12-20,Noryang: Deadly Sea,660360
