,index,Released,English title,TMDB_id
376,48,1973-12-18,Cinderella Liberty,84847
377,50,1973-12-19,The Day of the Dolphin,42470
378,52,1973-12-20,Alvin Purple,33057
379,53,1973-12-20,The Laughing Policeman,29735
380,54,1973-12-21,The Deadly Trackers,133328
381,56,1973-12-25,The Sting,9277
382,58,1973-12-26,The Exorcist,9552
383,59,1973-12-29,Tidal Wave (Japan),103079
384,1,1974-01-04,McQ,26185
385,4,1974-01-21,Luther,213635
386,5,1974-01-21,Rhinoceros,39194
387,6,1974-01-28,Black Belt Jones,18257
388,8,1974-02-02,The Street Fighter,40810
389,9,1974-02-06,Zardoz,4923
390,10,1974-02-07,Blazing Saddles,11072
391,12,1974-02-11,Thieves Like Us,31656
392,14,1974-02-22,Alien Thunder,98387
393,16,1974-02-27,Busting,84209
394,18,1974-03-07,Billy Two Hats,32143
395,23,1974-03-22,Catch My Soul,258471
396,24,1974-03-27,Conrack,30702
397,1,1974-04-03,The Night Porter,26648
398,3,1974-04-05,The Sugarland Express,5121
399,4,1974-04-05,Foxy Brown,22048
400,5,1974-04-07,Captain Kronos – Vampire Hunter,18979
401,6,1974-04-07,The Conversation,592
402,7,1974-04-10,Our Time,174162
403,8,1974-04-10,Thomasine & Bushrod,95966
404,9,1974-04-14,Lovin' Molly,172340
405,11,1974-04-19,Caged Heat,39775
406,14,1974-04-22,Claudine,55909
407,15,1974-04-24,Lone Wolf and Cub: White Heaven in Hell,41486
408,18,1974-05-01,The Lords of Flatbush,38925
409,20,1974-05-10,Symptoms,110412
410,21,1974-05-15,Stavisky,61296
411,22,1974-05-17,Alice in the Cities,2204
412,23,1974-05-17,The Black Windmill,32050
413,24,1974-05-17,"Dirty Mary, Crazy Larry",19017
414,27,1974-05-19,Zandy's Bride,96337
415,28,1974-05-20,The Driver's Seat,93510
416,30,1974-05-22,Daisy Miller,4703
417,33,1974-05-24,Huckleberry Finn,75141
418,36,1974-06-06,Bootleggers,149631
419,40,1974-06-14,The Parallax View,17365
420,41,1974-06-20,Chinatown,829
421,43,1974-06-21,Where the Red Fern Grows,26514
422,44,1974-06-23,The Groove Tube,27977
423,46,1974-06-26,For Pete's Sake,31901
424,47,1974-06-26,Three the Hard Way,63340
425,48,1974-06-26,Truck Turner,22121
426,1,1974-07-10,Oliver Twist,53148
427,7,1974-07-17,The Education of Sonny Carson,54440
428,8,1974-07-17,Golden Needles,149464
429,9,1974-07-21,The White Dawn,6966
430,10,1974-07-24,Death Wish,13939
431,12,1974-07-24,The Internecine Project,86600
432,14,1974-07-26,Uptown Saturday Night,29464
433,15,1974-07-31,Bank Shot,97313
434,16,1974-07-31,The Bears and I,103698
435,19,1974-08-07,California Split,32044
436,20,1974-08-07,Together Brothers,86574
437,21,1974-08-08,Macon County Line,42450
438,22,1974-08-12,Harry and Tonto,42448
439,26,1974-08-21,Buster and Billie,84450
440,28,1974-08-21,Newman's Law,122751
441,31,1974-08-30,Amazing Grace,53847
442,32,1974-09-03,The Black Godfather,80755
443,37,1974-09-19,Big Bad Mama,45186
444,38,1974-09-20,Nightmare Honeymoon,98128
445,40,1974-09-25,Juggernaut,29805
446,2,1974-10-02,The Gambler,44800
447,3,1974-10-02,The Taking of Pelham One Two Three,8333
448,4,1974-10-04,Female Trouble,14267
449,5,1974-10-09,Law and Disorder,119532
450,6,1974-10-09,Shanks,29399
451,9,1974-10-17,Benji,23069
452,10,1974-10-18,Airport 1975,27932
453,14,1974-10-18,Mixed Company,193121
454,17,1974-10-24,Stardust,27196
455,18,1974-10-25,The Klansman,77765
456,19,1974-10-31,Phantom of the Paradise,27327
457,20,1974-10-31,The Four Musketeers,12310
458,26,1974-11-12,All the Kind Strangers,37644
459,27,1974-11-13,The Life and Times of Grizzly Adams,112323
460,28,1974-11-13,The Trial of Billy Jack,83980
461,30,1974-11-15,Earthquake,11123
462,32,1974-11-15,Seizure,29854
463,33,1974-11-21,Beyond the Door,33801
464,45,1974-12-05,The Photographer,30920
465,46,1974-12-09,Alice Doesn't Live Here Anymore,16153
466,48,1974-12-14,The Towering Inferno,5919
467,49,1974-12-15,Young Frankenstein,3034
468,52,1974-12-20,The Godfather Part II,240
469,53,1974-12-20,Hearts and Minds,42449
470,57,1974-12-25,Abby,78075
471,58,1974-12-25,Freebie and the Bean,20802
472,0,1975-01-01,Teenage Seductress,121696
473,3,1975-01-27,Galileo,167408
474,7,1975-02-02,Rafferty and the Gold Dust Twins,111149
475,8,1975-02-05,Report to the Commissioner,42262
476,9,1975-02-06,The Strongest Man in the World,31654
477,10,1975-02-11,Shampoo,31121
478,11,1975-02-12,The Stepford Wives,12223
479,15,1975-03-01,At Long Last Love,4704
480,20,1975-03-13,The Great Waldo Pepper,19740
481,21,1975-03-14,The Prisoner of Second Avenue,19221
482,22,1975-03-14,Rancho Deluxe,42261
483,24,1975-03-17,In Celebration,158741
484,27,1975-03-21,Escape to Witch Mountain,14821
485,28,1975-03-24,Rosebud,1943
486,32,1975-03-26,"Sheba, Baby",34459
487,1,1975-04-02,Supervixens,5725
488,4,1975-04-21,The Maids,170677
489,13,1975-05-07,The Day of the Locust,5122
490,15,1975-05-08,The Happy Hooker,75848
491,18,1975-05-14,Moonrunners,87303
492,23,1975-05-20,The Fortune,70259
493,24,1975-05-21,"Cornbread, Earl and Me",37754
494,25,1975-05-21,The Eiger Sanction,20187
495,27,1975-05-21,The Return of the Pink Panther,11843
496,28,1975-05-21,W.W. and the Dixie Dancekings,39211
497,29,1975-05-21,The Wild McCullochs,291861
498,31,1975-05-22,The Wind and the Lion,14815
499,32,1975-05-23,Lepke,42259
500,34,1975-06-01,Las Vegas Lady,91260
501,35,1975-06-01,Poor Pretty Eddie,63317
502,37,1975-06-04,Posse,45874
