,Released,English title,Genre,Score,Popularity,Overview,Or_lan,Actor_1_name,Actor_1_popu,Actor_2_name,Actor_2_popu,Actor_3_name,Actor_3_popu
30,2013-10-13,Mindscape, Thriller Drama,6.51,19.081,"A man with the ability to enter peoples' memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",en,Mark Strong,55.03,Taissa Farmiga,39.24,Brian Cox,24.002
31,2013-10-18,Last Passenger, Action Thriller Mystery,5.511,13.758,"Independent British thriller starring Dougray Scott and Kara Tointon. Lewis (Scott), an overworked doctor, is on his way home from London with his young son Max (Joshua Kaynama). Clearly exhausted from his work, Lewis decides to take a nap on the train while an attractive young woman (Tointon) watches over his son. When he wakes, all but a few passengers have alighted and he realises that the train is not stopping to let anyone else off. Determined to get to the bottom of the mystery, Lewis goes to investigate and finds that the train has been taken over by an unstable driver who is hellbent on destroying the vehicle along with all the remaining passengers on board.",en,Dougray Scott,24.487,Kara Tointon,5.409,David Schofield,13.481
32,2013-10-21,Green Street 3: Never Back Down, Action Drama,5.4,14.511,"An old firm leader returns to Green Street for revenge after receiving a call that his little brother was killed, but is he able to cope with a new type of hooliganism and can he find his killer?",en,Scott Adkins,53.478,Joey Ansah,4.841,Kacey Clarke,19.566
33,2013-10-25,Lord of Tears, Drama Horror,5.607,6.838,"Lord of Tears tells the story of James Findlay, a school teacher plagued by recurring nightmares of a mysterious and unsettling entity. Suspecting that his visions are linked to a dark incident in his past, James returns to his childhood home, a notorious mansion in the Scottish Highlands, where he uncovers the disturbing truth behind his dreams, and must fight to survive the brutal consequences of his curiosity.",en,David Schofield,13.481,Euan Douglas,0.608,Alexandra Nicole Hulme,2.954
34,2013-10-26,Strange Factories, Horror Drama Thriller,10.0,0.6,"A writer, possessed by a terrifying story hunts for its secret heart in a mysterious landscape. He journeys into unknown, dreamlike places, haunted by the infamous Hum emitted from a strange factory.",en,,,,,,
35,2013-10-28,In the Sands of Babylon,,0.0,0.6,"An Iraqi soldier escaping from Kuwait as the army retreats in 1991 is captured and cast into Saddam’s infamous prisons, accused of being a traitor. Outside, an Iraqi uprising instills hope for those held captive in the killing fields of Babylon.",en,Samer Mohamed,1.048,Ameer Al Daradji,1.38,Hassan Bkheet,0.6
36,2013-11-15,Another Me, Thriller Mystery Horror Drama,5.352,17.146,A teenager finds her perfect life upended when she's stalked by a mysterious doppelganger who has her eyes set on assuming her identity.,en,Sophie Turner,37.585,Claire Forlani,38.497,Rhys Ifans,34.76
37,2013-12-20,Moshi Monsters: The Movie, Adventure Animation Family Comedy Fantasy,6.313,2.927,"Katsuma, Poppet, Snoodle, and the other Moshi Monsters must stop evil Doctor Strangeglove and his incompetent sidekick Fishlips from pulverising the recently discovered Great Moshling Egg.",en,Emma Tate,4.49,Phillipa Alexander,2.656,Ashley Slater,1.708
38,2013-12-20,The Harry Hill Movie, Comedy Adventure Family,5.0,8.905,Harry Hill embarks on a road trip to Blackpool with his Nan when he discovers that his hamster only has one week to live.,en,Harry Hill,17.3,Julie Walters,25.237,Simon Bird,21.05
39,2013-12-24,The House of Magic, Family Fantasy Animation Adventure,6.366,30.011,"Thunder, an abandoned young cat seeking shelter from a storm, stumbles into the strangest house imaginable, owned by an old magician and inhabited by a dazzling array of automatons and gizmos. Not everyone welcomes the new addition to the troupe as Jack Rabbit and Maggie Mouse plot to evict Thunder. The situation gets worse when the magician lands in hospital and his scheming nephew sees his chance to cash in by selling the mansion. Our young hero is determined to earn his place and so he enlists the help of some wacky magician's assistants to protect his magical new home.",en,Brianne Siddall,9.239,Shanelle Gray,13.395,Robin Atkin Downes,25.389
